iter	Passed	Remaining
692	2687	1190
693	2691	1186
694	2695	1182
695	2699	1179
696	2702	1174
697	2706	1170
698	2718	1170
699	2721	1166
700	2724	1162
701	2728	1158
702	2731	1153
703	2734	1149
704	2737	1145
705	2741	1141
706	2745	1137
707	2748	1133
708	2751	1129
709	2755	1125
710	2759	1121
711	2767	1119
712	2775	1117
713	2780	1113
714	2786	1110
715	2791	1107
716	2794	1103
717	2797	1098
718	2801	1094
719	2805	1091
720	2808	1086
721	2811	1082
722	2815	1078
723	2818	1074
724	2822	1070
725	2825	1066
726	2829	1062
727	2832	1058
728	2836	1054
729	2839	1050
730	2842	1046
731	2845	1041
732	2849	1037
733	2853	1033
734	2856	1029
735	2859	1025
736	2862	1021
737	2866	1017
738	2869	1013
739	2873	1009
740	2876	1005
741	2879	1001
742	2883	997
743	2887	993
744	2890	989
745	2893	985
746	2897	981
747	2900	977
748	2903	973
749	2907	969
750	2911	965
751	2915	961
752	2918	957
753	2922	953
754	2925	949
755	2929	945
756	2932	941
757	2936	937
758	2939	933
759	2942	929
760	2947	925
761	2950	921
762	2953	917
763	2957	913
764	2961	909
765	2964	905
766	2967	901
767	2971	897
768	2974	893
769	2978	889
770	2982	885
771	2985	881
772	2988	877
773	2993	873
774	2996	869
775	2999	865
776	3003	861
777	3007	858
778	3010	854
779	3013	849
780	3017	846
781	3021	842
782	3025	838
783	3031	835
784	3037	831
785	3041	827
786	3044	823
787	3047	819
788	3051	815
789	3055	812
790	3059	808
791	3062	804
792	3066	800
793	3070	796
794	3073	792
795	3076	788
796	3080	784
797	3084	780
798	3087	776
799	3091	772
800	3094	768
801	3098	764
802	3101	760
803	3104	756
804	3108	752
805	3111	748
806	3115	745
807	3118	741
808	3121	737
809	3125	733
810	3137	731
811	3141	727
812	3146	723
813	3149	719
814	3153	715
815	3156	711
816	3159	707
817	3163	703
818	3167	699
819	3170	695
820	3173	691
821	3177	687
822	3180	683
823	3183	679
824	3186	676
825	3190	672
826	3194	668
827	3197	664
828	3200	660
829	3203	656
830	3207	652
831	3211	648
832	3214	644
833	3217	640
834	3220	636
835	3224	632
836	3227	628
837	3230	624
838	3234	620
839	3237	616
840	3240	612
841	3243	608
842	3247	604
843	3250	600
844	3254	596
845	3258	593
846	3261	589
847	3264	585
848	3269	581
849	3272	577
850	3276	573
851	3279	569
852	3284	566
853	3288	562
854	3291	558
855	3295	554
856	3300	550
857	3303	546
858	3306	542
859	3310	538
860	3313	534
861	3318	531
862	3321	527
863	3324	523
864	3327	519
865	3331	515
866	3335	511
867	3338	507
868	3341	503
869	3345	499
870	3348	495
871	3351	492
872	3354	488
873	3358	484
874	3362	480
875	3366	476
876	3369	472
877	3373	468
878	3377	464
879	3381	461
880	3384	457
881	3387	453
882	3391	449
883	3395	445
884	3398	441
885	3401	437
886	3404	433
887	3408	429
888	3411	425
889	3414	422
890	3418	418
891	3421	414
892	3425	410
893	3428	406
894	3432	402
895	3435	398
896	3438	394
897	3442	390
898	3445	387
899	3448	383
900	3452	379
901	3455	375
902	3459	371
903	3462	367
904	3465	363
905	3469	359
906	3473	356
907	3476	352
908	3480	348
909	3483	344
910	3487	340
911	3490	336
912	3493	332
913	3496	329
914	3500	325
915	3504	321
916	3507	317
917	3511	313
918	3515	309
919	3519	306
920	3522	302
921	3525	298
922	3529	294
923	3532	290
924	3536	286
925	3539	282
926	3542	278
927	3546	275
928	3550	271
929	3553	267
930	3556	263
931	3559	259
932	3563	255
933	3567	252
934	3570	248
935	3573	244
936	3577	240
937	3580	236
938	3583	232
939	3586	228
940	3590	225
941	3594	221
942	3597	217
943	3600	213
944	3603	209
945	3607	205
946	3611	202
947	3614	198
948	3617	194
949	3621	190
950	3624	186
951	3628	182
952	3631	179
953	3634	175
954	3639	171
955	3642	167
956	3645	163
957	3649	159
958	3652	156
959	3656	152
960	3659	148
961	3663	144
962	3666	140
963	3670	137
964	3674	133
965	3677	129
966	3680	125
967	3684	121
968	3688	117
969	3691	114
970	3695	110
971	3698	106
972	3702	102
973	3705	98
974	3708	95
975	3711	91
976	3715	87
977	3718	83
978	3722	79
979	3725	76
980	3728	72
981	3732	68
982	3736	64
983	3739	60
984	3742	56
985	3746	53
986	3749	49
987	3752	45
988	3755	41
989	3758	37
990	3762	34
991	3766	30
992	3769	26
993	3772	22
994	3776	18
995	3780	15
996	3783	11
997	3786	7
998	3789	3
999	3794	0
